"compresion","imagen","peso","resolucion","tasa_compresion"
"Index","37",8153666,"1080p",2.27092201149433
"Run","113",10228100,"1080p",2.27224761480759
"Index","70",3429658,"720p",2.2774170585587
"Index","83",10003886,"1080p",2.286369435253
"Index","34",3597882,"720p",2.28663002091591
"Index","66",4159646,"720p",2.29383682925067
"Index","56",4013222,"720p",2.29461501428838
"Run","74",8559958,"1080p",2.29488321641257
"Index","111",7809082,"1080p",2.29586777539834
"Index","64",3952942,"720p",2.30129271324238
"Run","42",9515631,"1080p",2.30205034611929
"Index","37",4010094,"720p",2.30541489596556
"Index","114",9604462,"1080p",2.30931836307884
"Run","97",4483370,"720p",2.31082607147146
"Run","111",3797027,"720p",2.31641998829902
"Run","74",4020114,"720p",2.32293550627579
"Index","93",8105994,"1080p",2.32775143524677
"Run","83",10185822,"1080p",2.32795056778212
"Index","66",8672798,"1080p",2.32992357253597
"Run","94",9659554,"1080p",2.33599550771676
"Index","94",4283314,"720p",2.33886162631521
"Run","97",9679760,"1080p",2.34305612775201
"Index","101",6092050,"1080p",2.34646332872287
"Index","18",3615758,"720p",2.35112531244229
"Index","57",5687530,"1080p",2.35812554988088
"Run","111",8035464,"1080p",2.3624240157772
"Index","16",2432222,"720p",2.36367771008524
"Index","2",6871262,"1080p",2.36379198185271
"Run","66",4302217,"720p",2.37245760865909
"Run","108",9616114,"1080p",2.37318422463245
"Index","93",4004146,"720p",2.37589797539813
"Index","90",7166350,"1080p",2.3777071807165
"Run","108",4398767,"720p",2.38063943498085
"Index","50",4215134,"720p",2.38146931137894
"Index","92",2792722,"720p",2.38292959717399
"Index","39",4164014,"720p",2.38886371016136
"Index","95",5320730,"1080p",2.39364044805321
"Index","39",8562730,"1080p",2.39519536017316
"Index","77",7210642,"1080p",2.39617828637663
"Index","78",4492650,"720p",2.40002243685628
"Index","50",8900330,"1080p",2.40038242877332
"Index","8",8881042,"1080p",2.40103632574239
"Run","114",10004265,"1080p",2.40544789219916
